,uid,activity_mean,activity_var,audio_mean,audio_var,bluetooth_sum,bluetooth_var,bluetooth_mean,bluetooth_day_num,conversation_sum,conversation_var,conversation_mean,conversation_day_num,dark_sum,dark_var,dark_mean,dark_day_num,phonecharge_sum,phonecharge_var,phonecharge_mean,phonecharge_day_num,phonelock_sum,phonelock_var,phonelock_mean,phonelock_day_num,in_time_second,near_time_second,in_all_percentage,pre_positive,post_positive,pre_negative,post_negative,pre_positive_label,post_positive_label,pre_negative_label,post_negative_label
0,u00,0.349241315,0.924554596,0.231949735,0.664765939,0.549543532,0.732848061,0.495022043,0.264705882,0.127207501,0.595034975,0.311282588,0.028571429,0.54674796,0.594972289,0.620907826,0.11627907,0.536968752,0.262842322,0.416776596,0.5,0.494529927,0.647317664,0.549495306,0.113636364,0.34879394,0.348725663,0.624394668,32,31,33,24,1,1,1,1
1,u01,0.483002553,0.98010123,0.167804213,0.297013852,0.890670229,0.894641344,0.919892118,0.264705882,0.03160912,0.398812399,0,0.4,0.316286509,0.056493419,0.346917427,0.209302326,0.904674012,0.764735521,0.880553337,0.608695652,0.353764384,0.314931367,0.302448767,0.204545455,0.508330328,0.155152914,0.83813505,30,27,19,17,1,0,1,0
2,u02,0.6419567,0.991142346,0.466649168,0.540161632,0.330215988,0.663490558,0.355197131,0,0.320834506,0.318762241,0.428913003,0.142857143,0.590041761,0.673370003,0.670266194,0.093023256,0.603504178,0.766762567,0.709890719,0.086956522,0.743367002,0.830153586,0.861873637,0.136363636,0.075745875,0.83478302,0.152820834,23,28,15,13,1,1,1,0
3,u03,1,0.997713692,1,1,1,0.959529032,1,0.735294118,1,1,1,0.542857143,0.879110554,0.566417507,0.736449387,0.860465116,0.759469322,0.181564295,0.558806719,0.739130435,0.772199453,0.1102903,0.643576604,0.659090909,0.255011144,0.985731093,0.012731318,30,25,27,20,1,0,1,0
4,u04,0,0.946309934,0,0.83057481,0.489868626,0.673098934,0.420697513,0.264705882,0.127504261,0.915968141,0.193061615,0.257142857,0,0.59896863,0,0.23255814,0.914062447,0.79481375,0.973175309,0.260869565,0.183891527,0.345974292,0.023714719,0.25,0.406916752,0.669608477,0.361375565,27,34,14,19,1,1,1,0
5,u05,0.7756666,0.986500416,0.513225787,0.769666719,0.25428635,0,0.213768825,0.117647059,0.472231429,0.623581165,0.564179621,0.142857143,0.491501193,0.429817884,0.50633229,0.255813953,0.619535643,0.207542978,0.512769947,0.52173913,0.520251183,0,0.472561253,0.295454545,0.164328535,0.802091412,0.192359631,32,33,27,17,1,1,1,0
6,u07,0.610245177,0.960284851,0.516412398,0.041188123,0.822311289,0.803701126,0.775165301,0.5,0.636904209,0.084868279,0.525312774,0.657142857,0.502743348,0.27296649,0.414551229,0.441860465,0.855264936,0.666141833,0.749221217,0.717391304,0.49917062,0.01093897,0.263457021,0.5,0.597336956,0.758129083,0.312693207,30,16,21,17,1,0,1,0
36,u08,0.517925165,0.987256313,0.344619778,0.807094094,0.252282342,0.22690851,0.195273414,0.147058824,0.139546623,0.661129289,0.295152438,0.085714286,0.497578409,0.84376672,0.591020538,0.069767442,0.534757139,0.72506883,0.63802429,0.108695652,0.488146667,0.845238656,0.565742046,0.068181818,0.124378316,0.884825364,0.110120091,30,36.2,26,31.5,1,1,1,1
7,u09,0.586158213,0.987359964,0.313325176,0.76915492,0.548430194,0.535393552,0.505809237,0.235294118,0,0.455064327,0.204622292,0.028571429,0.439480831,0.281598939,0.517237119,0.11627907,0.695974181,0.607955723,0.697405521,0.369565217,0.319057557,0.382686437,0.307551487,0.136363636,0.12027104,0.776014878,0.210862286,28,32,11,12,1,1,0,0
8,u10,0.744309585,0.996814365,0.515538359,0.881322766,0,0.572104983,0,0,0.379307356,0.743625292,0.522661988,0.028571429,0.384210931,0.398280817,0.494972163,0.046511628,0.713484151,0.897265809,0.735661712,0.326086957,0.251884349,0.388509116,0.319019789,0,0.028617543,0.922676313,0.068482175,33,43,20,28,1,1,1,1
37,u12,0.683006164,0.977512111,0.508076263,0.854818082,0.683589401,0.735823586,0.735303568,0,0.300893331,0.736296183,0.467500386,0,0.080369066,0.355011375,0.242748292,0,0.175626658,0,0.271238899,0.152173913,0.148079926,0.815017616,0.195737649,0,0.060342775,0.906222267,0.085580441,42,32.4,18,42.3,1,1,1,1
38,u13,0.78253893,0.983007286,0.696021444,0.87512999,0.41572033,0.42230244,0.357884543,0.205882353,0.603107523,0.725621259,0.665026444,0.2,0.728287591,0.553831739,0.70639868,0.418604651,0.587310255,0.788694824,0.581489095,0.347826087,0.586105124,0.391728865,0.621958967,0.204545455,0.184435727,0.842959613,0.155724416,13,27,21,33.2,0,0,1,1
9,u14,0.457707967,0.912266651,0.136933541,0.229733923,0.322422623,0.53742669,0.245622163,0.205882353,0.086702509,0,0.249437358,0.085714286,0.535592027,0.565188179,0.45574117,0.441860465,0.77280453,0.665798543,0.75446301,0.456521739,0.438127828,0.354350886,0.332646606,0.318181818,0.173396894,0.722215423,0.266678698,40,36,43,12,1,1,1,0
10,u15,0.867608497,0.982385318,0.641720957,0.620443395,0.732353596,0.402841843,0.644831363,0.5,0.623805852,0.286969857,0.563767923,0.542857143,0.918958398,0.723555689,0.736340754,1,0.987522133,0.917759705,0.918462268,0.913043478,0.933915586,0.601702418,0.865779654,0.886363636,0.176184323,0.67390311,0.309840904,30,33,25,25,1,1,1,1
11,u16,0.730828807,0.983510874,0.647729821,0.790670852,0.567356936,0.693504654,0.540344401,0.205882353,0.456137042,0.679900248,0.495708129,0.285714286,0.600812426,0.54222696,0.67317327,0.11627907,0.540686173,0.18027677,0.575531957,0.260869565,0.382721481,0.571081211,0.434572787,0.068181818,0.122885294,0.887980994,0.106978367,18,17,20,33,0,0,1,1
12,u17,0.814924994,0.988237677,0.663548784,0.890313957,0.566020931,0.585050194,0.580703911,0.088235294,0.558391726,0.819537253,0.672819736,0.028571429,0.213891164,0.434959802,0.29919952,0.11627907,0.495454589,0.186269155,0.414478867,0.434782609,0.33865905,0.427212376,0.364708774,0.090909091,0.037761238,0.905658915,0.084808742,31,27,17,37,1,0,1,1
13,u18,0.848727702,0.987181206,0.695422594,0.707417325,0.769761746,0.555099677,0.615581502,0.705882353,0.637032481,0.507124983,0.525475354,0.657142857,0.697659668,0.508330471,0.648777086,0.465116279,0.554017286,0.304612749,0.210958243,0.717391304,0.618869806,0.238758894,0.546200732,0.409090909,0.087334236,0.936907704,0.057637889,16,17,28,35,0,0,1,1
14,u19,0.813167624,0.992597357,0.629358467,0.679175696,0.357158762,0.491450837,0.384178151,0,0.44468196,0.419906548,0.518681856,0.2,0.340232397,0.587445944,0.421314966,0.11627907,0.657856619,0.878843172,0.724789537,0.195652174,0.307033235,0.705912989,0.370263858,0.022727273,0.050184491,0.881959405,0.107528163,31,34,22,15,1,1,1,0
15,u20,0.927885894,0.99157651,0.782954492,0.820166267,0.900467602,0.841788722,0.900609503,0.441176471,0.833023861,0.794252858,0.820630877,0.485714286,0.772689247,0.053593545,0.559363355,0.813953488,0.930414732,0.751301507,0.774746258,0.913043478,0.821780076,0.582749186,0.748640516,0.659090909,0.307837611,0.962939342,0.039685441,29,25,13,26,1,0,1,1
39,u22,0.690311092,0.978731298,0.680565984,0.516138077,0.839679359,0.863708446,0.85025249,0.294117647,0.717631992,0.538454647,0.651098689,0.6,0.405548272,0,0.451108273,0.186046512,0.805992379,0.756848805,0.788778508,0.47826087,0.431320555,0.20199404,0.424665972,0.181818182,0.014467434,0.949290983,0.042957331,26,23.3,15,31.3,1,0,1,1
16,u23,0.922062756,0.994584217,0.688370629,0.924743424,0.852371409,0.84510935,0.8721913,0.264705882,0.734217975,0.885243919,0.773174319,0.257142857,0.325347025,0.59079034,0.313420711,0.279069767,0,0.499130812,0,0.260869565,0.474014359,1,0.452796932,0.227272727,0.252964355,0.980036077,0.018953281,29,28,26,24,1,1,1,1
17,u24,0.638412421,0.945765183,0.347478658,0.453929951,0.882654197,0.859600808,0.683494006,1,0.62990469,0.397857763,0.269013699,1,0.871025405,0.712217097,0.705445828,0.88372093,0.902523833,0.537822874,0.634460031,0.97826087,0.72176548,0.472026354,0.323072921,0.840909091,1,0.93594152,0.141044264,26,22,15,18,1,0,1,0
18,u27,0.86388375,0.990382257,0.622713997,0.774497853,0.62257849,0.321654793,0.653113335,0.058823529,0.46296114,0.526827505,0.57493612,0.085714286,0.482621955,0.745451404,0.549440186,0.139534884,0.644319362,0.657137895,0.49822011,0.586956522,0.748319489,0.83478824,0.845037565,0.204545455,0.040112632,0.929824605,0.062312113,23,19,18,23,1,0,1,1
19,u31,0.670366928,0.970316873,0.505203528,0.773158233,0.701402806,0.7559729,0.665413802,0.323529412,0.366958527,0.425726994,0.470122826,0.142857143,0.550578763,0.763029551,0.632743841,0.093023256,0.423638595,0.69796516,0.476845722,0.217391304,0.696696578,0.885926287,0.809275259,0.113636364,0.145218973,0.874514063,0.121658001,31,20,17,37,1,0,1,1
20,u32,0.461279657,0.930482274,0.288456484,0.136014375,0.461367179,0.15998538,0.38519923,0.264705882,0.070896562,0.381993028,0.101965199,0.314285714,0.445711565,0.266867612,0.45721014,0.255813953,0.638167801,0.523329295,0.629370372,0.369565217,0.320087402,0.233386339,0.274319679,0.181818182,0.174968186,0.647549206,0.332416848,29,41,14,15,1,1,1,0
21,u33,0.706713977,0.980613806,0.445421562,0.525230853,0.919617012,0.909332105,0.890938831,0.617647059,0.534684193,0.503226878,0.502135415,0.457142857,0.461901211,0.42003291,0.436898764,0.325581395,0.688748213,0.438321184,0.608645091,0.52173913,0.654723666,0.712718625,0.659165615,0.318181818,0.321696161,0.880761361,0.130794597,19,26,34,28,0,0,1,1
22,u34,0.629593342,0.915412544,0.619875283,0.683523102,0.894455578,0.905018784,0.835035485,0.676470588,0.686718318,0.329150596,0.574946017,0.685714286,0.958502151,1,0.871273991,0.930232558,0.992223859,0.880415091,0.895830476,0.97826087,1,0.590677854,1,1,0.607242164,0.427082571,0.659308913,28,24,10,14,1,0,0,0
23,u35,0.76609342,0.963961104,0.741114404,0.834928244,0.847695391,0.925589768,0.911824326,0,0.635767784,0.693879391,0.744029907,0,1,0.884187389,1,0.76744186,0.92570345,0.834115019,0.855928853,0.760869565,0.844850014,0.39869399,0.888862035,0.477272727,0.051714365,0.892131099,0.098217636,27,20,12,15,1,0,0,0
24,u36,0.500070689,0.943839282,0.69054221,0.631605117,0.600979737,0.766106012,0.610749309,0.117647059,0.606169422,0.616541948,0.675984418,0.171428571,0.303754381,0.6485779,0.398023557,0.093023256,0.874849999,0.865385796,0.922643272,0.304347826,0.142736098,0.787814178,0.172134591,0.022727273,0.12625193,0.741938261,0.242064307,32,32,11,19,1,1,0,0
25,u42,0.867296554,0.985820066,0.742749181,0.77611066,0.819193943,0.806608599,0.787475039,0.441176471,0.697925868,0.492073492,0.627232003,0.6,0.750877893,0.436315934,0.616980125,0.674418605,0.999017061,0.956665539,0.947415715,0.913043478,0.853946382,0.483038816,0.829863699,0.636363636,0.39145821,0.817675831,0.206816033,24,36,29,21,1,1,1,0
26,u43,0.604476048,0.955739532,0.561859546,0.667135125,0.68002672,0.699611419,0.65753762,0.264705882,0.513882552,0.515995198,0.562499375,0.257142857,0.633883601,0.599111595,0.55459555,0.488372093,0.847327702,0.816414566,0.850430166,0.456521739,0.60523715,0.347313215,0.507237387,0.431818182,0.602886377,0,1,31,32,18,21,1,1,1,0
27,u44,0.944788605,0.997908891,0.804675183,0.95603144,0.706746827,0.814774959,0.662544974,0.352941176,0.737107226,0.907069599,0.775936893,0.257142857,0.837939929,0.657698324,0.792044094,0.581395349,0.944443458,0.943359939,0.947319989,0.586956522,0.423331448,0.579528661,0.364938716,0.25,0.103619516,0.841520483,0.149238163,32,28,11,22,1,1,0,1
28,u45,0.754154555,0.959125744,0.574862649,0.745728652,0.841015364,0.816457901,0.757099211,0.647058824,0.626688864,0.531659168,0.540954701,0.6,0.867004491,0.714654766,0.711872672,0.860465116,0.735923833,0.455340402,0.590100231,0.652173913,0.587495059,0.598270256,0.280186567,0.636363636,0.488110294,0.246899875,0.758980646,27,27,23,18,1,0,1,0
29,u46,0.017964476,0.948637069,0.113521715,0.593153831,0.388554888,0.239910965,0.244222976,0.352941176,0.169824482,0.655267643,0.144862639,0.4,0.665681206,0.847796433,0.667956904,0.325581395,0.726176353,0.696720974,0.660558093,0.52173913,0.72792253,0.584348112,0.747844476,0.363636364,0.333224189,0.821149422,0.194978471,34,31,19,34,1,1,1,1
30,u47,0.758641586,0.930536207,0.770021776,0.851849009,0.789356491,0.815126383,0.707321366,0.558823529,0.902695941,0.826171902,0.881330774,0.571428571,0.980532216,0.94930853,0.928808131,0.906976744,0.723485557,0.609542088,0.61648621,0.586956522,0.882222007,0.438577072,0.775162231,0.818181818,0.199983954,0.795115939,0.203328315,34,35,31,11,1,1,1,0
40,u50,0.995067228,1,0.909582914,0.983160833,0.820752616,0.882326388,0.676874478,0.764705882,0.905969317,0.948928948,0.844646127,0.742857143,0.852897645,0.567973213,0.65016885,0.906976744,0.909012597,0.673379244,0.625818002,1,0.802037246,0.072619251,0.61233455,0.772727273,0.488854848,1,0,25,21.8,13,21.5,1,0,1,1
31,u51,0.427137489,0.948592509,0.63922988,0.775243083,0.573591628,0.734791716,0.598773922,0.058823529,0.563079566,0.704215504,0.684006105,0,0.451439264,0.660544922,0.547826352,0.069767442,0.955498794,0.9526466,1,0.391304348,0,0.418308386,0,0.022727273,0.050838055,0.883749707,0.10592072,24,26,14,12,1,0,1,0
32,u52,0.227511823,0,0.840966514,0,0.588287686,0.249072731,0.624070249,0.029411765,0.909513105,0.973674844,0.958109945,0.114285714,0.468138254,0.748022518,0.563464805,0.069767442,0.823438185,0.895538119,0.827115308,0.434782609,0.24100635,0.394275764,0.258246536,0.068181818,0.114964586,0.794782602,0.193268034,40,26,35,39,1,0,1,1
33,u53,0.912932559,0.99295122,0.662055863,0.787008868,0.649298597,0.652050264,0.690706328,0.029411765,0.459043628,0.607591152,0.562126436,0.114285714,0.643598566,0.177271162,0.602409546,0.418604651,0.909703384,0.866641141,0.880946165,0.630434783,0.365018099,0.289444613,0.367607441,0.136363636,0,0.99143349,0.00264366,28,33,17,17,1,1,1,0
43,u54,0.56776891,0.935768485,0.570472509,0.420342488,0.621242485,0.117902644,0.36453812,0.705882353,0.625767382,0.069627996,0.553225406,0.571428571,0.621694681,0.795270043,0.496509468,0.558139535,0.844189123,0.93201771,0.815366371,0.543478261,0.698121315,0.813504527,0.584861848,0.545454545,0.224241472,0.651498201,0.338564982,0,21,0,26,-1,0,-1,1
34,u56,0.621185058,0.969346199,0.5875859,0.834611359,0.922289022,1,0.978663784,0.117647059,0.656433525,0.769964945,0.706676636,0.228571429,0.759589312,0.509768973,0.709948314,0.511627907,0.887693738,0.664786337,0.741166665,0.826086957,0.744144357,0.394496269,0.76221237,0.386363636,0.373150275,0.31091346,0.662564186,22,29,9,15,0,1,0,0
41,u57,0.235266445,0.965251787,0.151940971,0.735765189,0.38922289,0.505931006,0.41866796,0,0.168410017,0.663341738,0.358099543,0,0.339135058,0.708615076,0.463836194,0.023255814,0.436409978,0.581027092,0.555684066,0.086956522,0.398640747,0.842262667,0.493313353,0,0.06432286,0.854976344,0.133390551,35,35.9,12,43,1,1,0,1
42,u58,0.724696462,0.979176908,0.426913793,0.364464799,0.797817858,0.841590827,0.841909469,0.088235294,0.364825737,0.349565559,0.316986749,0.457142857,0.481866141,0.487026351,0.548708251,0.139534884,0.585815369,0.215747574,0.498596543,0.47826087,0.27911841,0.360985083,0.289445571,0.090909091,0.076453902,0.97040252,0.024504056,28,25.2,15,35.4,1,0,1,1
35,u59,0.297927125,0.915348076,0.707237367,0.923109325,0.695836117,0.828184051,0.719364393,0.117647059,0.090574259,0.365790174,0.293825052,0,0.598699344,0.828039426,0.678493706,0.093023256,0.032640407,0.582049901,0.243503485,0,0.777064226,0.770558272,0.899019533,0.159090909,0.047892453,0.906537768,0.084567755,34,37,21,29,1,1,1,1
